code,name,state,territory,country,quiz,latitude,longitude,population,national_capital,state_capital,manually_added,nicknames,db_match,name_ar
syria-52,An-Nāṣiriyah,Rīf Dimashq,,Syria,asia,33.871846,36.8141218,4827,0,0,,,,الناصرية
syria-53,Ḥillah,Rīf Dimashq,,Syria,asia,33.7369163,36.5307253,3921,0,0,,,,حله
syria-54,Jub'adīn,Rīf Dimashq,,Syria,asia,33.8226185,36.5115302,3778,0,0,,,,جبعدين
syria-55,Ayn at-Tīnah,Rīf Dimashq,,Syria,asia,33.8167423,36.5579698,3206,0,0,,,,عين التينة
syria-56,Ma'lūlā,Rīf Dimashq,,Syria,asia,33.8441858,36.5461523,2762,0,0,,,,معلولا
syria-57,At-Tawānī,Rīf Dimashq,,Syria,asia,33.778219,36.50141,2446,0,0,,,,التواني
syria-58,Al-'Aṭanah,Rīf Dimashq,,Syria,asia,33.8471953,36.7670299,1897,0,0,,,,العطنة
syria-59,Al-Manṣūrah,Rīf Dimashq,,Syria,asia,33.8922112,36.8128744,878,0,0,,,,المنصورة
syria-60,An-Nabk,Rīf Dimashq,,Syria,asia,34.0234186,36.7335028,32548,0,0,,,,النبك
syria-61,Qārah,Rīf Dimashq,,Syria,asia,34.155107,36.7457916,12508,0,0,,,,قارة
syria-62,Dayr 'Aṭiyah,Rīf Dimashq,,Syria,asia,34.0920051,36.7641986,10984,0,0,,,,دير عطية
syria-63,Mashrafat Fulayṭah,Rīf Dimashq,,Syria,asia,34.03041,36.5840865,6475,0,0,,,,مشرفة فليطة
syria-64,As-Saḥl,Rīf Dimashq,,Syria,asia,34.0234923,36.6603902,5677,0,0,,,,السحل
syria-65,Al-Jarājīr,Rīf Dimashq,,Syria,asia,34.0858423,36.6621384,4022,0,0,,,,الجراجير
syria-66,Al-Qasṭal,Rīf Dimashq,,Syria,asia,33.9247321,36.6969944,3486,0,0,,,,القسطل
syria-67,Qaldūn al-Marāḥ,Rīf Dimashq,,Syria,asia,33.8786974,36.6869866,2561,0,0,,,,قلدون المراح
syria-68,Al-Ḥumayrah,Rīf Dimashq,,Syria,asia,34.1764629,36.8474739,1740,0,0,,,,الحميرة
syria-69,Al-Ḥajar al-Aswad,Rīf Dimashq,,Syria,asia,33.4565281,36.3048058,84948,0,0,,,,الحجر الأسود
syria-70,Dārayyā,Rīf Dimashq,,Syria,asia,33.4587911,36.2388458,78763,0,0,,,,داريا
syria-71,Mu'aḍḍamīyat ash-Shām,Rīf Dimashq,,Syria,asia,33.4615876,36.1983105,52738,0,0,,,,معضمية الشام
syria-72,Ashrafīyat Ṣaḥnāyā,Rīf Dimashq,,Syria,asia,33.4328962,36.2399751,30519,0,0,,,,أشرفية صحنايا
syria-73,Ṣaḥnāyā,Rīf Dimashq,,Syria,asia,33.4226099,36.2259681,13993,0,0,,,,صحنايا
syria-74,Dūmā,Rīf Dimashq,,Syria,asia,33.5696629,36.4012933,110893,0,0,,,,دوما
syria-75,Ḥarastā,Rīf Dimashq,,Syria,asia,33.557736,36.3668183,68708,0,0,,,,حرستا
syria-76,Aḍ-Ḍumayr,Rīf Dimashq,,Syria,asia,33.644949,36.6920884,24223,0,0,,,,الضمير
syria-77,Adrā,Rīf Dimashq,,Syria,asia,33.60525,36.5161568,20559,0,0,,,,عدرا
syria-78,Buṭayḥat al-Wāfidīn,Rīf Dimashq,,Syria,asia,33.5963802,36.433231,16539,0,0,,,,بطيحة الوافدين
syria-79,Ḥarrān al-'Awāmīd,Rīf Dimashq,,Syria,asia,33.4478157,36.5602552,12117,0,0,,,,حران العواميد
syria-80,An-Nashābiyah,Rīf Dimashq,,Syria,asia,33.5107332,36.4849423,11053,0,0,,,,النشابية
syria-81,Al-Ytayba,Rīf Dimashq,,Syria,asia,33.4851086,36.6088323,10548,0,0,,,,العتيبة
syria-82,Madīnat ash-Shahīd Bāsil al-Asad al-'Ummāliyah Ba'drā,Rīf Dimashq,,Syria,asia,33.6324546,36.5151993,10504,0,0,,,,مدينة الشهيد باسل الأسد العمالية بعدرا
