name,state,country,population,latitude,longitude,percentageOfSessions
Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,3095454,-34.60841638,-58.37213468,
Córdoba,Córdoba,Argentina,1488572,-31.41680447,-64.18360653,
Rosario,Santa Fe,Argentina,1030069,-32.94721338,-60.63317558,
Salta,Salta,Argentina,587497,-24.78927203,-65.41028604,
San Miguel de Tucumán,Tucumán,Argentina,587289,-26.83038876,-65.2037797,
Mar del Plata,Buenos Aires,Argentina,564937,-37.99761058,-57.54816222,
Corrientes,Corrientes,Argentina,425525,-27.46334501,-58.83947285,
Santa Fe,Santa Fe,Argentina,405264,-31.65747495,-60.71047844,
Posadas,Misiones,Argentina,320927,-27.36642598,-55.89398028,
Santiago del Estero,Santiago del Estero,Argentina,310564,-27.78768447,-64.25966807,
Bahía Blanca,Buenos Aires,Argentina,310215,-38.71760509,-62.26544693,
San Salvador de Jujuy,Jujuy,Argentina,308646,-24.18582867,-65.29948308,
Resistencia,Chaco,Argentina,297910,-27.45107571,-58.98648353,
José C. Paz,Buenos Aires,Argentina,295236,-34.52174634,-58.75537408,
Merlo,Buenos Aires,Argentina,289536,-34.66498323,-58.72794811,
Neuquén,Neuquén,Argentina,289460,-38.95182882,-68.05918131,
González Catán,Buenos Aires,Argentina,287036,-34.77302531,-58.64403939,
Quilmes,Buenos Aires,Argentina,286603,-34.72006762,-58.25434698,
Paraná,Entre Ríos,Argentina,268871,-31.74016016,-60.52742605,
Formosa,Formosa,Argentina,254648,-26.18500898,-58.17489648,
Gregorio de Laferrere,Buenos Aires,Argentina,253993,-34.74699358,-58.5892568,
La Plata,Buenos Aires,Argentina,218815,-34.92135192,-57.95450265,
Lanús,Buenos Aires,Argentina,215823,-34.70377094,-58.40056031,
La Rioja,La Rioja,Argentina,208711,-29.41288422,-66.85582798,
Virrey del Pino,Buenos Aires,Argentina,207478,-34.8376536,-58.64696822,
San Luis,San Luis,Argentina,206754,-33.30208648,-66.33685457,
Moreno,Buenos Aires,Argentina,195044,-34.65129233,-58.79000192,
Berazategui,Buenos Aires,Argentina,190160,-34.76301631,-58.21216915,
Rafael Castillo,Buenos Aires,Argentina,187922,-34.70909853,-58.62563352,
San Fernando del Valle de Catamarca,Catamarca,Argentina,185796,-28.46901324,-65.77891735,
Río Cuarto,Córdoba,Argentina,180342,-33.12383693,-64.34900322,
Isidro Casanova,Buenos Aires,Argentina,171820,-34.71097027,-58.58580842,
Concordia,Entre Ríos,Argentina,163381,-31.39196482,-58.01700778,
Monte Grande,Buenos Aires,Argentina,161647,-34.8163558,-58.46826423,
San Nicolás de los Arroyos,Buenos Aires,Argentina,154080,-33.32758104,-60.21705805,
San Juan Bautista,Buenos Aires,Argentina,144484,-34.80898577,-58.27615002,
Tandil,Buenos Aires,Argentina,139172,-37.32869548,-59.13689756,
San Rafael,Mendoza,Argentina,138420,-34.61286138,-68.33041698,
Comodoro Rivadavia,Chubut,Argentina,134905,-45.86541815,-67.48215977,
General Rodríguez,Buenos Aires,Argentina,132630,-34.60643107,-58.95216064,
Ituzaingó,Buenos Aires,Argentina,132254,-34.66038849,-58.66616751,
Trujui,Buenos Aires,Argentina,131155,-34.59073747,-58.75562549,
La Banda,Santiago del Estero,Argentina,130628,-27.73065025,-64.24336045,
Santa María,Buenos Aires,Argentina,128064,-34.55851487,-58.76129514,
San Carlos de Bariloche,Río Negro,Argentina,126818,-41.13419669,-71.31095831,
Bernal,Buenos Aires,Argentina,125604,-34.71090205,-58.28339212,
Mendoza,Mendoza,Argentina,123715,-32.88973255,-68.84444423,
San Justo,Buenos Aires,Argentina,118999,-34.68114175,-58.5637386,
Libertad,Buenos Aires,Argentina,117049,-34.69863752,-58.69023246,
Villa Mercedes,San Luis,Argentina,116836,-33.67447098,-65.46219778,
Santa Rosa,La Pampa,Argentina,116009,-36.62040119,-64.29063004,
Río Gallegos,Santa Cruz,Argentina,115524,-51.62346327,-69.21586453,
San Juan,San Juan,Argentina,114849,-31.53725904,-68.52501721,
San José,Buenos Aires,Argentina,114021,-34.76363236,-58.34339147,
Villa Krause,San Juan,Argentina,110698,-31.58188729,-68.54211386,
Castelar,Buenos Aires,Argentina,110684,-34.65182053,-58.64604751,
Zárate,Buenos Aires,Argentina,109564,-34.09580509,-59.02432323,
Ramos Mejía,Buenos Aires,Argentina,109081,-34.64549934,-58.55966574,
Trelew,Chubut,Argentina,105203,-43.25318675,-65.30938059,
Chimbas,San Juan,Argentina,103772,-31.4932663,-68.53256519,
Olavarría,Buenos Aires,Argentina,103295,-36.89384232,-60.32319371,
Pergamino,Buenos Aires,Argentina,102786,-33.89110914,-60.57458619,
Rafaela,Santa Fe,Argentina,101617,-31.25266753,-61.49166156,
Morón,Buenos Aires,Argentina,101615,-34.64745732,-58.62186155,
Rivadavia,San Juan,Argentina,101334,-31.53244252,-68.59714061,
General Roca,Río Negro,Argentina,100267,-39.02681985,-67.57483649,
Campana,Buenos Aires,Argentina,98392,-34.16325402,-58.95920775,
Río Grande,Tierra del Fuego,Argentina,98391,-53.78632609,-67.69632814,
Caseros,Buenos Aires,Argentina,98221,-34.60352917,-58.56319227,
Presidencia Roque Sáenz Peña,Chaco,Argentina,98104,-26.79097178,-60.44124832,
Puerto Madryn,Chubut,Argentina,97732,-42.7672815,-65.03667559,
La Tablada,Buenos Aires,Argentina,97729,-34.68646233,-58.52564614,
Villa María,Córdoba,Argentina,96340,-32.41350419,-63.24832903,
Junín,Buenos Aires,Argentina,95416,-34.59394174,-60.94643097,
Gualeguaychú,Entre Ríos,Argentina,94914,-33.0077977,-58.51077009,
Villa Celina,Buenos Aires,Argentina,94812,-34.69867448,-58.48656094,
Bella Vista,Buenos Aires,Argentina,94048,-34.56827334,-58.68205839,
Guernica,Buenos Aires,Argentina,94004,-34.91798652,-58.38215704,
San Francisco Solano,Buenos Aires,Argentina,93568,-34.77976107,-58.31116147,
Burzaco,Buenos Aires,Argentina,92915,-34.82817171,-58.39103388,
Cipolletti,Río Negro,Argentina,92787,-38.93878477,-67.99550268,
Villa Gobernador Gálvez,Santa Fe,Argentina,92147,-33.02513192,-60.63368929,
Ezpeleta,Buenos Aires,Argentina,92095,-34.74594313,-58.23479484,
Belén de Escobar,Buenos Aires,Argentina,92020,-34.34606529,-58.79444784,
Ciudad Evita,Buenos Aires,Argentina,91492,-34.71577315,-58.53494562,
Grand Bourg,Buenos Aires,Argentina,88891,-34.48901247,-58.72638705,
Goya,Corrientes,Argentina,88864,-29.14007638,-59.25989126,
San Ramón de la Nueva Orán,Salta,Argentina,87568,-23.13608872,-64.32292701,
Wilde,Buenos Aires,Argentina,87414,-34.70407882,-58.31720951,
Luján,Buenos Aires,Argentina,86916,-34.56335741,-59.12111832,
Concepción del Uruguay,Entre Ríos,Argentina,85664,-32.48466127,-58.23212078,
Mariano Acosta,Buenos Aires,Argentina,85341,-34.72292092,-58.79540603,
Reconquista,Santa Fe,Argentina,85216,-29.14451733,-59.6435479,
Monte Chingolo,Buenos Aires,Argentina,84576,-34.72958548,-58.3542215,
Villa Luzuriaga,Buenos Aires,Argentina,84410,-34.66353089,-58.58239228,
Lomas de Zamora,Buenos Aires,Argentina,83826,-34.75961277,-58.39946914,
Venado Tuerto,Santa Fe,Argentina,82679,-33.74549916,-61.96873352,
Remedios de Escalada de San Martín,Buenos Aires,Argentina,81229,-34.72591028,-58.39670185,
Cuartel V,Buenos Aires,Argentina,80989,-34.54882443,-58.80987947,
Gobernador Julio A. Costa,Buenos Aires,Argentina,80740,-34.80754842,-58.30385106,
Glew,Buenos Aires,Argentina,79686,-34.88833626,-58.38278746,
Ushuaia,Tierra del Fuego,Argentina,79667,-54.80740398,-68.30375718,
San Fernando,Buenos Aires,Argentina,79347,-34.44365929,-58.55864554,
Florida,Buenos Aires,Argentina,77763,-34.53201075,-58.49282518,
Olivos,Buenos Aires,Argentina,77296,-34.50932037,-58.48139617,
Garín,Buenos Aires,Argentina,76722,-34.42303391,-58.7394613,
Boulogne Sur Mer,Buenos Aires,Argentina,76254,-34.50948005,-58.56691086,
Oberá,Misiones,Argentina,75589,-27.48679096,-55.12005698,
Bosques,Buenos Aires,Argentina,75463,-34.81661063,-58.23131395,
Santo Tomé,Santa Fe,Argentina,75133,-31.66301875,-60.76172231,
Necochea,Buenos Aires,Argentina,74812,-38.55446016,-58.73923682,
Los Hornos,Buenos Aires,Argentina,74726,-34.95935595,-57.98073402,
Del Viso,Buenos Aires,Argentina,74345,-34.45021587,-58.79863211,
Ciudad Jardín El Libertador,Buenos Aires,Argentina,74115,-34.54196813,-58.59483969,
Don Torcuato,Buenos Aires,Argentina,73610,-34.50131157,-58.62669762,
Gerli,Buenos Aires,Argentina,72787,-34.68377306,-58.37444148,
Tartagal,Salta,Argentina,72614,-22.51681833,-63.80560492,
Tigre,Buenos Aires,Argentina,72363,-34.42264926,-58.58087529,
Ciudadela,Buenos Aires,Argentina,71681,-34.63791532,-58.53934334,
Villa Carlos Paz,Córdoba,Argentina,71238,-31.41791694,-64.49402916,
San Pedro,Jujuy,Argentina,71067,-24.23172828,-64.86781607,
Eldorado,Misiones,Argentina,70740,-26.40887696,-54.60705304,
Villa Elvira,Buenos Aires,Argentina,70558,-34.93944376,-57.9208331,
Pilar,Buenos Aires,Argentina,69714,-34.4587078,-58.91392246,
Las Talitas,Tucumán,Argentina,69084,-26.77582802,-65.20909244,
Villa Santos Tesei,Buenos Aires,Argentina,68947,-34.61995851,-58.64016179,
San Francisco,Córdoba,Argentina,68385,-31.42493894,-62.08387673,
San Martín,Mendoza,Argentina,68273,-33.08771424,-68.4758072,
San Miguel,Buenos Aires,Argentina,68129,-34.5430416,-58.71196899,
General Pico,La Pampa,Argentina,66929,-35.65930043,-63.75787173,
Yerba Buena,Tucumán,Argentina,66320,-26.81604169,-65.29253831,
Chivilcoy,Buenos Aires,Argentina,65914,-34.89689583,-60.01909137,
Azul,Buenos Aires,Argentina,65201,-36.777447,-59.86344305,
Martínez,Buenos Aires,Argentina,64978,-34.48901044,-58.49938014,
Mercedes,Buenos Aires,Argentina,64349,-34.65073321,-59.43138744,
La Reja,Buenos Aires,Argentina,64338,-34.63901273,-58.82669313,
Béccar,Buenos Aires,Argentina,63719,-34.46019581,-58.53136114,
Presidente Derqui,Buenos Aires,Argentina,63325,-34.49226718,-58.83901989,
Los Polvorines,Buenos Aires,Argentina,63293,-34.50208863,-58.69499435,
Guillermo Enrique Hudson,Buenos Aires,Argentina,63074,-34.7918465,-58.15161897,
Marcos Paz,Buenos Aires,Argentina,62408,-34.7824959,-58.83788909,
Hurlingham,Buenos Aires,Argentina,62040,-34.58983839,-58.63741661,
Benavídez,Buenos Aires,Argentina,61974,-34.41157271,-58.68992795,
Villa Domínico,Buenos Aires,Argentina,61835,-34.69457664,-58.33045645,
Palpalá,Jujuy,Argentina,61701,-24.25789381,-65.21348676,
9 de Abril,Buenos Aires,Argentina,61594,-34.76278787,-58.48754799,
Punta Alta,Buenos Aires,Argentina,61468,-38.88045822,-62.07499664,
Banfield,Buenos Aires,Argentina,61072,-34.74471384,-58.39292631,
Lomas del Mirador,Buenos Aires,Argentina,60675,-34.66527652,-58.53177393,
Alta Gracia,Córdoba,Argentina,59967,-31.64979213,-64.42987198,
Temperley,Buenos Aires,Argentina,59899,-34.77260216,-58.38959552,
José María Ezeiza,Buenos Aires,Argentina,59790,-34.85276217,-58.52320113,
Rafael Calzada,Buenos Aires,Argentina,59696,-34.79735961,-58.36167116,
Barranqueras,Chaco,Argentina,59655,-27.48510607,-58.93073626,
El Palomar,Buenos Aires,Argentina,59232,-34.61085562,-58.59568101,
Santa Catarina,Buenos Aires,Argentina,58833,-34.75284421,-58.47057249,
Villa Fiorito,Buenos Aires,Argentina,58060,-34.70569848,-58.44446618,
San Carlos,Buenos Aires,Argentina,57727,-34.92905284,-58.00017696,
Viedma,Río Negro,Argentina,57591,-40.80836773,-62.99492873,
Tortuguitas,Buenos Aires,Argentina,57578,-34.47451671,-58.75494567,
Clorinda,Formosa,Argentina,57456,-25.28608088,-57.7224082,
General Pacheco,Buenos Aires,Argentina,57183,-34.45492285,-58.63414944,
El Jagüel,Buenos Aires,Argentina,57080,-34.83085332,-58.4948837,
Concepción,Tucumán,Argentina,57001,-27.34592044,-65.5927483,
San Pedro,Buenos Aires,Argentina,56860,-33.67594803,-59.66301581,
Paso del Rey,Buenos Aires,Argentina,56722,-34.65313267,-58.76124222,
Maipú,Mendoza,Argentina,56595,-32.98461978,-68.78820902,
Perico,Jujuy,Argentina,56487,-24.37604726,-65.11808578,
Longchamps,Buenos Aires,Argentina,56379,-34.86072984,-58.38918489,
Caleta Olivia,Santa Cruz,Argentina,56355,-46.44784652,-67.5227409,
Santa Lucía,San Juan,Argentina,55124,-31.54054185,-68.49786893,
Puerto Iguazú,Misiones,Argentina,54450,-25.5972101,-54.577223,
William C. Morris,Buenos Aires,Argentina,54374,-34.57969828,-58.6570782,
Plottier,Neuquén,Argentina,54165,-38.95235487,-68.22714739,
Avellaneda,Buenos Aires,Argentina,54057,-34.66382951,-58.36273736,
Tafí Viejo,Tucumán,Argentina,53753,-26.72998282,-65.26284394,
Tristán Suárez,Buenos Aires,Argentina,53168,-34.89095917,-58.56655436,
Tres Arroyos,Buenos Aires,Argentina,52931,-38.3771967,-60.27521507,
Paso de los Libres,Corrientes,Argentina,52925,-29.71371481,-57.0854054,
Río Tercero,Córdoba,Argentina,52811,-32.17673937,-64.11296284,
Villa Constitución,Santa Fe,Argentina,52204,-33.22727003,-60.32974982,
Ingeniero Pablo Nogués,Buenos Aires,Argentina,51614,-34.48947232,-58.70609173,
Alejandro Korn,Buenos Aires,Argentina,51495,-34.98141223,-58.37672638,
San Lorenzo,Santa Fe,Argentina,50942,-32.7472614,-60.73568746,
Ingeniero Budge,Buenos Aires,Argentina,50735,-34.71963411,-58.45712867,
Pontevedra,Buenos Aires,Argentina,50636,-34.75025926,-58.70125709,
Santa Albertina,Buenos Aires,Argentina,50036,-34.72805213,-58.44465382,
Villa Rosa,Buenos Aires,Argentina,49923,-34.41529192,-58.86954884,
Ingeniero Juan Allan,Buenos Aires,Argentina,48789,-34.86668349,-58.19855737,
El Talar,Buenos Aires,Argentina,48031,-34.46358078,-58.66135153,
Francisco Álvarez,Buenos Aires,Argentina,47510,-34.63319199,-58.8554658,
Sarandí,Buenos Aires,Argentina,47422,-34.68179606,-58.34631079,
Villa Angela,Chaco,Argentina,47121,-27.57687756,-60.71112567,
Gualeguay,Entre Ríos,Argentina,46905,-33.15043008,-59.31057559,
Chacabuco,Buenos Aires,Argentina,46594,-34.64202599,-60.47123653,
Dock Sud,Buenos Aires,Argentina,46531,-34.65013422,-58.34490226,
Esperanza,Santa Fe,Argentina,46265,-31.4488901,-60.93015288,
Victoria,Buenos Aires,Argentina,46144,-34.45304754,-58.54219125,
Libertador General San Martín,Jujuy,Argentina,46140,-23.81521495,-64.79285568,
Villa Gobernador Udadondo,Buenos Aires,Argentina,45729,-34.6183464,-58.69672371,
Villa Vatteone,Buenos Aires,Argentina,45716,-34.82697382,-58.27140233,
San Isidro,Buenos Aires,Argentina,45401,-34.46642852,-58.50968981,
Centenario,Neuquén,Argentina,45310,-38.83015654,-68.12147747,
Claypole,Buenos Aires,Argentina,45282,-34.79755887,-58.33520442,
Villa Centenario,Buenos Aires,Argentina,45037,-34.72736075,-58.43058694,
Balcarce,Buenos Aires,Argentina,45001,-37.84638262,-58.25549117,
Don Orione,Buenos Aires,Argentina,44497,-34.81929154,-58.34185431,
Valentín Alsina,Buenos Aires,Argentina,44220,-34.67141401,-58.40904865,
Granadero Baigorria,Santa Fe,Argentina,44188,-32.86183051,-60.70633324,
El Plumerillo,Mendoza,Argentina,44058,-32.84860949,-68.80545746,
Luis Guillón,Buenos Aires,Argentina,43665,-34.80264155,-58.45067543,
Tolosa,Buenos Aires,Argentina,43553,-34.89176451,-57.97417324,
Zapala,Neuquén,Argentina,43416,-38.90293435,-70.06421122,
Virreyes,Buenos Aires,Argentina,43391,-34.45375183,-58.55434008,
Villa Adelina,Buenos Aires,Argentina,42827,-34.51885569,-58.5473555,
Mercedes,Corrientes,Argentina,42694,-29.18469281,-58.07353177,
Termas de Río Hondo,Santiago del Estero,Argentina,42519,-27.49863499,-64.86071329,
Altos de San Lorenzo,Buenos Aires,Argentina,42328,-34.94225563,-57.93307416,
Curuzú Cuatiá,Corrientes,Argentina,42161,-29.79145121,-58.04985881,
9 de Julio,Buenos Aires,Argentina,41995,-35.44393528,-60.88462748,
Villaguay,Entre Ríos,Argentina,41960,-31.86763757,-59.02688521,
Villa Eduardo Madero,Buenos Aires,Argentina,41928,-34.68813227,-58.49317381,
Santa Marta,Buenos Aires,Argentina,41792,-34.74963707,-58.4496308,
José Mármol,Buenos Aires,Argentina,41437,-34.7863166,-58.36984231,
La Calera,Córdoba,Argentina,41002,-31.34579262,-64.33848731,
Chajarí,Entre Ríos,Argentina,40902,-30.7547242,-57.98178937,
Llavallol,Buenos Aires,Argentina,40789,-34.79307072,-58.42627932,
Fontana,Chaco,Argentina,40561,-27.4202374,-59.03739126,
Las Heras,Mendoza,Argentina,40432,-32.8503416,-68.8405204,
Cutral Có,Neuquén,Argentina,40355,-38.93791128,-69.22936581,
Trenque Lauquen,Buenos Aires,Argentina,40124,-35.9733359,-62.73274505,
Villa Ballester,Buenos Aires,Argentina,40005,-34.54808349,-58.55708448,
Parque Barón,Buenos Aires,Argentina,39819,-34.76609244,-58.43452577,
General Belgrano,Mendoza,Argentina,39752,-32.88468172,-68.79303082,
Posadas (Expansión),Misiones,Argentina,39712,-27.45243368,-55.85271149,
Tunuyán,Mendoza,Argentina,39623,-33.58125316,-69.01536856,
Haedo,Buenos Aires,Argentina,39611,-34.6436076,-58.59452237,
Aguilares,Tucumán,Argentina,39539,-27.43162801,-65.614538,
San Vicente,Buenos Aires,Argentina,39128,-35.02490887,-58.42405791,
Bragado,Buenos Aires,Argentina,38925,-35.11556628,-60.48964999,
San Antonio de Padua,Buenos Aires,Argentina,38922,-34.66266564,-58.69812636,
Punta Mogotes,Buenos Aires,Argentina,38869,-38.06695279,-57.55103923,
Cañuelas,Buenos Aires,Argentina,38660,-35.05383883,-58.76199119,
Casilda,Santa Fe,Argentina,38427,-33.04469765,-61.16420109,
General Güemes,Salta,Argentina,38343,-24.67444721,-65.04659792,
Funes,Santa Fe,Argentina,38268,-32.92086451,-60.81143629,
Banda del Río Salí,Tucumán,Argentina,38074,-26.83996995,-65.16185951,
General Alvear,Mendoza,Argentina,37937,-34.97747158,-67.69618281,
Las Tortugas,Mendoza,Argentina,37874,-32.94519399,-68.82310228,
Chascomús,Buenos Aires,Argentina,37800,-35.57914267,-58.01367348,
Bell Ville,Córdoba,Argentina,37632,-32.63031428,-62.68879338,
Villa de Mayo,Buenos Aires,Argentina,37624,-34.50660884,-58.6789744,
San Martín de los Andes,Neuquén,Argentina,37520,-40.15693794,-71.35271433,
Rincón de Milberg,Buenos Aires,Argentina,37084,-34.41046042,-58.60199631,
Villa del Parque,Mendoza,Argentina,36933,-32.9075771,-68.87409656,
Villa Nueva,Mendoza,Argentina,36925,-32.89736718,-68.78710303,
Esquel,Chubut,Argentina,36882,-42.91732071,-71.32157255,
El Challao,Mendoza,Argentina,36742,-32.85464175,-68.89298088,
Pehuajó,Buenos Aires,Argentina,36728,-35.81080533,-61.89896821,
Alderetes,Tucumán,Argentina,36575,-26.82022587,-65.14332121,
Jesús María,Córdoba,Argentina,36557,-30.97613094,-64.09579317,
Lobos,Buenos Aires,Argentina,36454,-35.18542555,-59.09783416,
Bella Vista,Corrientes,Argentina,36338,-28.50768321,-59.04521729,
Villa La Florida,Buenos Aires,Argentina,36304,-34.7722704,-58.29293061,
Victoria,Entre Ríos,Argentina,36071,-32.62160582,-60.15795395,
Muñiz,Buenos Aires,Argentina,35855,-34.55249463,-58.70479371,
Baradero,Buenos Aires,Argentina,35738,-33.80707277,-59.50222783,
Gobernador Ingeniero Valentín Virasoro,Corrientes,Argentina,35538,-28.04680798,-56.00963249,
Rivadavia,Mendoza,Argentina,35312,-33.19576547,-68.46592288,
José Melchor Romero,Buenos Aires,Argentina,35297,-34.94567521,-58.03648082,
Lastenia,Tucumán,Argentina,35296,-26.85970044,-65.15888955,
Cruz del Eje,Córdoba,Argentina,34996,-30.74392879,-64.79077626,
Ensenada,Buenos Aires,Argentina,34980,-34.85750709,-57.90767952,
Manuel Alberti,Buenos Aires,Argentina,34945,-34.46194938,-58.7764401,
Villa General Eugenio Necochea,Buenos Aires,Argentina,34928,-34.51249838,-58.57983255,
Munro,Buenos Aires,Argentina,34797,-34.52980473,-58.5251828,
Villa Santa Rosa,Buenos Aires,Argentina,34729,-34.83706397,-58.28217957,
Carlos Spegazzini,Buenos Aires,Argentina,34711,-34.9117467,-58.59216652,
Ingeniero Maschwitz,Buenos Aires,Argentina,34589,-34.38923507,-58.73786661,
Troncos del Talar,Buenos Aires,Argentina,34564,-34.45480977,-58.61334094,
Miramar,Buenos Aires,Argentina,34483,-38.27046102,-57.83985445,
Salto,Buenos Aires,Argentina,34225,-34.29174631,-60.25450249,
San José de Metán,Salta,Argentina,34156,-25.49710551,-64.97105989,
Frías,Santiago del Estero,Argentina,33915,-28.63754419,-65.12872835,
Carrodilla,Mendoza,Argentina,33765,-32.96742326,-68.85161961,
General San Martín,Buenos Aires,Argentina,33652,-34.5779101,-58.53865647,
General José de San Martín,Chaco,Argentina,33453,-26.53630236,-59.34132101,
Lincoln,Buenos Aires,Argentina,33220,-34.86817691,-61.5294113,
Chilecito,La Rioja,Argentina,32815,-29.16510506,-67.49521527,
Villa Dolores,Córdoba,Argentina,32690,-31.94497676,-65.1902397,
Caucete,San Juan,Argentina,32454,-31.65148061,-68.28197851,
Pérez,Santa Fe,Argentina,32341,-32.99887217,-60.76986861,
City Bell,Buenos Aires,Argentina,32119,-34.86747402,-58.04742279,
San Carlos de Bolívar,Buenos Aires,Argentina,32069,-36.22987927,-61.11391708,
Villa Allende,Córdoba,Argentina,32058,-31.29364963,-64.29770131,
San Vicente,Misiones,Argentina,32007,-26.99329739,-54.48661897,
Cañada de Gómez,Santa Fe,Argentina,31778,-32.82121616,-61.39519868,
Charata,Chaco,Argentina,31748,-27.2179223,-61.18734797,
Tierras Altas,Buenos Aires,Argentina,31364,-34.47924774,-58.73984379,
Monteros,Tucumán,Argentina,31327,-27.16528714,-65.49721829,
Apóstoles,Misiones,Argentina,31294,-27.91413593,-55.75485784,
Villa Regina,Río Negro,Argentina,31182,-39.0945576,-67.08239544,
Palmira,Mendoza,Argentina,31124,-33.05050337,-68.56091203,
Saladillo,Buenos Aires,Argentina,30822,-35.63883898,-59.77937703,
Capitán Bermúdez,Santa Fe,Argentina,30792,-32.82645624,-60.71615575,
Roldán,Santa Fe,Argentina,30700,-32.89814315,-60.90964745,
Añatuya,Santiago del Estero,Argentina,30514,-28.46020335,-62.83354247,
Dolores,Buenos Aires,Argentina,30505,-36.31538918,-57.67546156,
La Paz,Entre Ríos,Argentina,30375,-30.74047662,-59.64430128,
Colón,Entre Ríos,Argentina,30365,-32.22505008,-58.1422695,
Villa Marini,Mendoza,Argentina,30363,-32.93207661,-68.86356791,
Piñeyro,Buenos Aires,Argentina,30304,-34.66808373,-58.3877465,
Villa General San Martín - Campo Afuera,San Juan,Argentina,29875,-31.43978476,-68.52038668,
Arrecifes,Buenos Aires,Argentina,29784,-34.06751491,-60.10869159,
Ingeniero Adolfo Sourdeaux,Buenos Aires,Argentina,29738,-34.50047131,-58.66203561,
Leandro N. Alem,Misiones,Argentina,29593,-27.60373165,-55.32361934,
Monte Caseros,Corrientes,Argentina,29507,-30.24942296,-57.62948177,
Dorrego,Mendoza,Argentina,29349,-32.91891072,-68.83306306,
Malargüe,Mendoza,Argentina,29267,-35.468374,-69.58470755,
Esquina,Corrientes,Argentina,29092,-30.01460706,-59.52951874,
Champagnat,Buenos Aires,Argentina,29063,-34.43794977,-58.91601158,
Rosario de la Frontera,Salta,Argentina,28950,-25.79856342,-64.97385809,
Santo Tomé,Corrientes,Argentina,28835,-28.54981581,-56.03481108,
Marcos Juárez,Córdoba,Argentina,28797,-32.69063629,-62.10112652,
Allen,Río Negro,Argentina,28281,-38.97951066,-67.8280214,
Lules,Tucumán,Argentina,28228,-26.92218427,-65.33771582,
Malvinas Argentinas,Buenos Aires,Argentina,28218,-34.81875504,-58.42338783,
Pichanal,Salta,Argentina,28144,-23.32459129,-64.22530343,
Machagai,Chaco,Argentina,27948,-26.92613476,-60.04841941,
Luján de Cuyo,Mendoza,Argentina,27947,-33.03917088,-68.87955232,
La Unión,Buenos Aires,Argentina,27764,-34.87071503,-58.53060013,
Adrogué,Buenos Aires,Argentina,27731,-34.79737267,-58.38845293,
General Gutiérrez,Mendoza,Argentina,27570,-32.96040745,-68.78746528,
Juan José Castelli,Chaco,Argentina,27557,-25.94657893,-60.62006704,
Quitilipi,Chaco,Argentina,27551,-26.87079068,-60.21519959,
Don Bosco,Buenos Aires,Argentina,27484,-34.70446528,-58.29758516,
Avellaneda,Santa Fe,Argentina,27426,-29.11752148,-59.65847208,
Arroyito,Córdoba,Argentina,27412,-31.41922977,-63.05070259,
Nogoyá,Entre Ríos,Argentina,27353,-32.39896153,-59.78769534,
Estanislao Severo Zeballos,Buenos Aires,Argentina,27249,-34.81417985,-58.24121806,
Rawson,Chubut,Argentina,27206,-43.30522367,-65.10369573,
Las Breñas,Chaco,Argentina,27144,-27.08643845,-61.08582282,
Coronel Suárez,Buenos Aires,Argentina,27142,-37.45852892,-61.93289383,
Villa Gesell,Buenos Aires,Argentina,26838,-37.26323051,-56.97455861,
Famaillá,Tucumán,Argentina,26798,-27.05451578,-65.40189075,
Villa Martelli,Buenos Aires,Argentina,26720,-34.55130428,-58.50662672,
Villa Barboza,San Juan,Argentina,26638,-31.59289733,-68.55712891,
Profesor Salvador Mazza,Salta,Argentina,26602,-22.051657,-63.69189277,
Colón,Buenos Aires,Argentina,26488,-33.8971264,-61.09941636,
Ituzaingó,Corrientes,Argentina,26315,-27.58510008,-56.68704524,
Rosario de Lerma,Salta,Argentina,26287,-24.98582602,-65.57839691,
Carmen de Patagones,Buenos Aires,Argentina,26141,-40.80251515,-62.98360219,
Villa Nueva,Córdoba,Argentina,26126,-32.43547641,-63.24785758,
San Justo,Santa Fe,Argentina,26025,-30.78917115,-60.59330059,
Luzuriaga,Mendoza,Argentina,25984,-32.94458204,-68.80700242,
Jardín América,Misiones,Argentina,25741,-27.04315879,-55.22701802,
Ricardo Rojas,Buenos Aires,Argentina,25718,-34.4584527,-58.6830426,
Las Flores,Buenos Aires,Argentina,25649,-36.01426875,-59.09986398,
Ministro Rivadavia,Buenos Aires,Argentina,25542,-34.84402073,-58.36275353,
Deán Funes,Córdoba,Argentina,25400,-30.42497718,-64.35273931,
Pico Truncado,Santa Cruz,Argentina,25359,-46.79942018,-67.95785168,
Maquinista F. Savio Este,Buenos Aires,Argentina,25176,-34.40064984,-58.77629152,
Colonia Caroya,Córdoba,Argentina,25063,-31.02205559,-64.06171287,
El Resguardo,Mendoza,Argentina,25057,-32.83033903,-68.82096632,
Cosquín,Córdoba,Argentina,25051,-31.24366828,-64.46534855,
Vicente López,Buenos Aires,Argentina,24790,-34.52574046,-58.47414983,
Las Heras,Santa Cruz,Argentina,24766,-46.54131353,-68.93227249,
Coronel Brandsen,Buenos Aires,Argentina,24688,-35.16795941,-58.23733024,
Rincón de los Sauces,Neuquén,Argentina,24579,-37.39017949,-68.92518756,
Godoy Cruz,Mendoza,Argentina,24499,-32.92533457,-68.84428146,
Trapiche,Mendoza,Argentina,24494,-32.94429744,-68.86688935,
Villa Lamadrid,Buenos Aires,Argentina,24328,-34.72699424,-58.4663162,
